session_id,timestamp,loading_strategy,device_type,network_type,perceived_responsiveness,interaction_delay_ms,smooth_scrolling_score,visual_stability_score,perceived_speed_score,task_completion_time_ms,bounce_rate,session_duration_s,pages_per_session,conversion_rate,click_through_rate,user_satisfaction_score,net_promoter_score,interaction_count,repeat_visits,feature_usage_score,error_count,rage_click_count,user_wait_time_ms
session-001,2024-03-15T10:23:45.621Z,baseline,desktop,cable,3.7,215,4.1,3.8,3.5,15284,0.12,348,5.2,0.08,0.32,7.4,6,32,3,3.9,2,0,3245
session-002,2024-03-15T10:35:42.923Z,baseline,desktop,dsl,3.5,232,3.9,3.7,3.3,16523,0.14,324,4.8,0.07,0.30,7.1,5,28,2,3.7,3,0,3562
session-003,2024-03-15T10:50:21.573Z,baseline,desktop,3g,3.1,287,3.4,3.3,2.9,19875,0.18,295,4.1,0.05,0.25,6.5,4,25,1,3.4,5,1,4215
session-004,2024-03-15T11:05:47.392Z,baseline,mobile,cable,3.2,268,3.5,3.4,3.1,18562,0.17,278,3.9,0.06,0.27,6.8,4,22,2,3.5,4,1,3876
session-005,2024-03-15T11:20:43.218Z,baseline,mobile,dsl,2.9,312,3.2,3.1,2.8,21345,0.22,254,3.5,0.04,0.23,6.2,3,19,1,3.1,6,2,4532
session-006,2024-03-15T11:35:28.195Z,baseline,mobile,3g,2.5,385,2.8,2.7,2.4,25784,0.28,212,2.8,0.03,0.18,5.6,2,15,1,2.7,8,3,5684
session-007,2024-03-15T11:50:38.295Z,baseline,tablet,cable,3.4,242,3.7,3.6,3.3,17234,0.15,312,4.5,0.07,0.29,7.0,5,26,2,3.6,3,0,3652
session-008,2024-03-15T12:05:48.732Z,baseline,tablet,dsl,3.1,295,3.4,3.3,3.0,19856,0.19,285,4.0,0.05,0.25,6.6,4,23,1,3.3,5,1,4123
session-009,2024-03-15T12:20:37.195Z,baseline,tablet,3g,2.7,352,3.0,2.9,2.6,23467,0.25,235,3.2,0.04,0.20,6.0,3,18,1,2.9,7,2,5142
session-010,2024-03-15T12:35:26.843Z,baseline,desktop,cable,3.8,205,4.2,3.9,3.6,14975,0.11,365,5.4,0.09,0.33,7.5,6,34,3,4.0,1,0,3154
session-011,2024-03-15T12:50:15.376Z,baseline,desktop,dsl,3.6,225,4.0,3.8,3.4,16125,0.13,342,5.0,0.08,0.31,7.2,5,30,2,3.8,2,0,3423
session-012,2024-03-15T13:05:28.759Z,baseline,desktop,3g,3.2,275,3.5,3.4,3.0,19425,0.17,305,4.3,0.06,0.26,6.6,4,27,1,3.5,4,1,4125
